Cheering;In 3 2 1
Applause;Immediately
Bravo!;Immediately
0;Bravo!;Immediately
1;Bravo!;Immediately
0;Applause;Immediately
1;Cheering;Immediately
2;Whistle;Immediately
3;Disappointment;Immediately
4;Disappointment;Immediately
5;Bravo!;Immediately
6;Whistle;Immediately
0;Applause;Immediately
1;Applause;Immediately
0;Bravo!;Immediately
0;Applause;Immediately
0;Applause;Immediately
1;Applause;Immediately
2;Applause;Immediately
3;Applause;Immediately
4;Whistle;Immediately
5;Cheering;Immediately
0;Applause;Immediately
1;Cheering;Immediately
2;Whistle;In 3 2 1
3;Disappointment;In 10 9 8...
4;Bravo!;Immediately
5;Cheering;Immediately
0;Whistle;Immediately
1;Whistle;Immediately
0;Applause;Immediately
1;Applause;Immediately
